Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-04-01,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-02,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-03,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-04,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-05,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-06,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-07,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-08,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-09,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-10,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-11,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-12,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-13,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-14,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-15,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-16,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-17,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-18,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-19,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-20,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-21,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-22,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-23,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-24,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-25,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-26,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-27,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-28,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-29,147977000000.0,13485000000.0,554818000000.0,,,
2024-04-30,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-01,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-02,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-03,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-04,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-05,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-06,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-07,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-08,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-09,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-10,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-11,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-12,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-13,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-14,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-15,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-16,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-17,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-18,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-19,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-20,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-21,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-22,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-23,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-24,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-25,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-26,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-27,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-28,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-29,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-30,147977000000.0,13485000000.0,554818000000.0,,,
2024-05-31,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-01,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-02,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-03,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-04,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-05,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-06,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-07,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-08,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-09,147977000000.0,13485000000.0,554818000000.0,,,
2024-06-10,147977000000.0,13485000000.0,554818000000.0,,,
