Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-01-01,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-02,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-03,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-04,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-05,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-06,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-07,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-08,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-09,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-10,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-11,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-12,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-13,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-14,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-15,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-16,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-17,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-18,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-19,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-20,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-21,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-22,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-23,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-24,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-25,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-26,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-27,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-28,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-29,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-30,11961000000.0,1325000000.0,177870000000.0,,,
2024-01-31,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-01,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-02,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-03,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-04,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-05,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-06,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-07,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-08,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-09,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-10,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-11,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-12,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-13,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-14,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-15,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-16,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-17,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-18,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-19,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-20,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-21,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-22,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-23,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-24,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-25,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-26,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-27,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-28,11961000000.0,1325000000.0,177870000000.0,,,
2024-02-29,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-01,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-02,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-03,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-04,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-05,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-06,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-07,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-08,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-09,11961000000.0,1325000000.0,177870000000.0,,,
2024-03-10,11961000000.0,1325000000.0,177870000000.0,,,
