Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-01-01,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-02,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-03,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-04,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-05,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-06,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-07,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-08,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-09,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-10,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-11,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-12,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-13,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-14,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-15,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-16,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-17,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-18,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-19,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-20,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-21,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-22,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-23,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-24,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-25,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-26,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-27,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-28,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-29,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-30,12791000000.0,2634000000.0,101174000000.0,,,
2024-01-31,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-01,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-02,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-03,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-04,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-05,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-06,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-07,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-08,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-09,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-10,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-11,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-12,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-13,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-14,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-15,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-16,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-17,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-18,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-19,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-20,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-21,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-22,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-23,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-24,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-25,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-26,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-27,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-28,12791000000.0,2634000000.0,101174000000.0,,,
2024-02-29,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-01,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-02,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-03,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-04,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-05,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-06,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-07,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-08,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-09,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-10,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-11,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-12,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-13,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-14,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-15,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-16,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-17,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-18,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-19,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-20,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-21,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-22,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-23,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-24,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-25,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-26,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-27,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-28,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-29,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-30,12791000000.0,2634000000.0,101174000000.0,,,
2024-03-31,12791000000.0,2634000000.0,101174000000.0,,,
2024-04-01,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-02,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-03,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-04,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-05,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-06,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-07,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-08,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-09,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-10,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-11,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-12,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-13,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-14,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-15,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-16,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-17,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-18,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-19,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-20,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-21,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-22,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-23,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-24,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-25,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-26,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-27,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-28,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-29,12702000000.0,1886000000.0,122998000000.0,,,
2024-04-30,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-01,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-02,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-03,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-04,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-05,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-06,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-07,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-08,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-09,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-10,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-11,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-12,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-13,12702000000.0,1886000000.0,122998000000.0,,,
2024-05-14,12702000000.0,1886000000.0,122998000000.0,,,
