Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-01-01,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-02,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-03,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-04,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-05,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-06,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-07,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-08,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-09,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-10,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-11,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-12,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-13,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-14,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-15,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-16,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-17,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-18,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-19,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-20,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-21,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-22,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-23,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-24,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-25,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-26,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-27,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-28,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-29,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-30,11846000000.0,1751000000.0,101371000000.0,,,
2024-01-31,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-01,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-02,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-03,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-04,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-05,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-06,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-07,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-08,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-09,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-10,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-11,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-12,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-13,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-14,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-15,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-16,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-17,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-18,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-19,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-20,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-21,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-22,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-23,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-24,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-25,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-26,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-27,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-28,11846000000.0,1751000000.0,101371000000.0,,,
2024-02-29,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-01,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-02,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-03,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-04,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-05,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-06,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-07,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-08,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-09,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-10,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-11,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-12,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-13,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-14,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-15,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-16,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-17,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-18,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-19,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-20,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-21,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-22,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-23,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-24,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-25,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-26,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-27,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-28,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-29,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-30,11846000000.0,1751000000.0,101371000000.0,,,
2024-03-31,11846000000.0,1751000000.0,101371000000.0,,,
2024-04-01,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-02,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-03,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-04,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-05,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-06,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-07,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-08,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-09,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-10,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-11,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-12,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-13,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-14,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-15,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-16,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-17,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-18,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-19,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-20,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-21,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-22,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-23,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-24,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-25,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-26,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-27,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-28,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-29,14997000000.0,2370000000.0,105628000000.0,,,
2024-04-30,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-01,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-02,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-03,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-04,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-05,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-06,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-07,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-08,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-09,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-10,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-11,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-12,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-13,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-14,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-15,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-16,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-17,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-18,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-19,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-20,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-21,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-22,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-23,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-24,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-25,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-26,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-27,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-28,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-29,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-30,14997000000.0,2370000000.0,105628000000.0,,,
2024-05-31,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-01,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-02,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-03,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-04,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-05,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-06,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-07,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-08,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-09,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-10,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-11,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-12,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-13,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-14,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-15,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-16,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-17,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-18,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-19,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-20,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-21,14997000000.0,2370000000.0,105628000000.0,,,
2024-06-22,14997000000.0,2370000000.0,105628000000.0,,,
