Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-01-01,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-02,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-03,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-04,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-05,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-06,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-07,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-08,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-09,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-10,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-11,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-12,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-13,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-14,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-15,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-16,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-17,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-18,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-19,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-20,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-21,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-22,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-23,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-24,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-25,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-26,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-27,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-28,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-29,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-30,80539000000.0,23662000000.0,407350000000.0,,,
2024-01-31,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-01,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-02,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-03,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-04,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-05,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-06,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-07,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-08,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-09,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-10,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-11,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-12,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-13,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-14,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-15,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-16,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-17,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-18,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-19,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-20,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-21,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-22,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-23,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-24,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-25,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-26,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-27,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-28,80539000000.0,23662000000.0,407350000000.0,,,
2024-02-29,80539000000.0,23662000000.0,407350000000.0,,,
2024-03-01,80539000000.0,23662000000.0,407350000000.0,,,
2024-03-02,80539000000.0,23662000000.0,407350000000.0,,,
2024-03-03,80539000000.0,23662000000.0,407350000000.0,,,
2024-03-04,80539000000.0,23662000000.0,407350000000.0,,,
2024-03-05,80539000000.0,23662000000.0,407350000000.0,,,
2024-03-06,80539000000.0,23662000000.0,407350000000.0,,,
2024-03-07,80539000000.0,23662000000.0,407350000000.0,,,
