Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-01-01,,,,,,
2024-01-02,,,,,,
2024-01-03,,,,,,
2024-01-04,,,,,,
2024-01-05,,,,,,
2024-01-06,,,,,,
2024-01-07,,,,,,
2024-01-08,,,,,,
2024-01-09,,,,,,
2024-01-10,,,,,,
2024-01-11,,,,,,
2024-01-12,,,,,,
2024-01-13,,,,,,
2024-01-14,,,,,,
2024-01-15,,,,,,
2024-01-16,,,,,,
2024-01-17,,,,,,
2024-01-18,,,,,,
2024-01-19,,,,,,
2024-01-20,,,,,,
2024-01-21,,,,,,
2024-01-22,,,,,,
2024-01-23,,,,,,
2024-01-24,,,,,,
2024-01-25,,,,,,
2024-01-26,,,,,,
2024-01-27,,,,,,
2024-01-28,,,,,,
2024-01-29,,,,,,
2024-01-30,,,,,,
2024-01-31,,,,,,
2024-02-01,,,,,,
2024-02-02,,,,,,
2024-02-03,,,,,,
2024-02-04,,,,,,
2024-02-05,,,,,,
2024-02-06,,,,,,
2024-02-07,,,,,,
2024-02-08,,,,,,
2024-02-09,,,,,,
2024-02-10,,,,,,
2024-02-11,,,,,,
2024-02-12,,,,,,
2024-02-13,,,,,,
2024-02-14,,,,,,
2024-02-15,,,,,,
2024-02-16,,,,,,
2024-02-17,,,,,,
2024-02-18,,,,,,
2024-02-19,,,,,,
2024-02-20,,,,,,
2024-02-21,,,,,,
2024-02-22,,,,,,
2024-02-23,,,,,,
2024-02-24,,,,,,
2024-02-25,,,,,,
2024-02-26,,,,,,
2024-02-27,,,,,,
2024-02-28,,,,,,
2024-02-29,,,,,,
2024-03-01,,,,,,
2024-03-02,,,,,,
2024-03-03,,,,,,
2024-03-04,,,,,,
2024-03-05,,,,,,
2024-03-06,,,,,,
2024-03-07,,,,,,
2024-03-08,,,,,,
2024-03-09,,,,,,
2024-03-10,,,,,,
2024-03-11,,,,,,
2024-03-12,,,,,,
2024-03-13,,,,,,
2024-03-14,,,,,,
2024-03-15,,,,,,
2024-03-16,,,,,,
2024-03-17,,,,,,
2024-03-18,,,,,,
2024-03-19,,,,,,
2024-03-20,,,,,,
2024-03-21,,,,,,
2024-03-22,,,,,,
2024-03-23,,,,,,
2024-03-24,,,,,,
2024-03-25,,,,,,
2024-03-26,,,,,,
2024-03-27,,,,,,
2024-03-28,,,,,,
2024-03-29,,,,,,
2024-03-30,,,,,,
2024-03-31,,,,,,
2024-04-01,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-02,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-03,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-04,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-05,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-06,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-07,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-08,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-09,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-10,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-11,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-12,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-13,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-14,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-15,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-16,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-17,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-18,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-19,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-20,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-21,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-22,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-23,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-24,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-25,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-26,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-27,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-28,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-29,84742000000.0,23619000000.0,414770000000.0,,,
2024-04-30,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-01,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-02,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-03,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-04,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-05,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-06,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-07,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-08,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-09,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-10,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-11,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-12,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-13,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-14,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-15,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-16,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-17,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-18,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-19,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-20,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-21,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-22,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-23,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-24,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-25,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-26,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-27,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-28,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-29,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-30,84742000000.0,23619000000.0,414770000000.0,,,
2024-05-31,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-01,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-02,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-03,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-04,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-05,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-06,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-07,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-08,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-09,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-10,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-11,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-12,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-13,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-14,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-15,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-16,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-17,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-18,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-19,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-20,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-21,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-22,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-23,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-24,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-25,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-26,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-27,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-28,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-29,84742000000.0,23619000000.0,414770000000.0,,,
2024-06-30,84742000000.0,23619000000.0,414770000000.0,,,
2024-07-01,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-02,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-03,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-04,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-05,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-06,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-07,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-08,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-09,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-10,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-11,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-12,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-13,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-14,88268000000.0,26301000000.0,430266000000.0,,,
2024-07-15,88268000000.0,26301000000.0,430266000000.0,,,
