Price,Close,High,Low,Open,Volume
Ticker,LRCX,LRCX,LRCX,LRCX,LRCX
Date,,,,,
1984-05-04,0.20934832096099854,0.21196538097938222,0.20934832096099854,0.20934832096099854,25789500
1984-05-07,0.20673125982284546,0.21196537983126199,0.20673125982284546,0.2093483198270537,1026000
1984-05-08,0.20673125982284546,0.2093483198270537,0.20673125982284546,0.20673125982284546,1372500
1984-05-09,0.20673125982284546,0.2093483198270537,0.20673125982284546,0.20673125982284546,7416000
1984-05-10,0.2014980912208557,0.2067312853738259,0.2014980912208557,0.2067312853738259,3037500
1984-05-11,0.19888097047805786,0.20411510395074878,0.19888097047805786,0.20149804423335893,2281500
1984-05-14,0.19888097047805786,0.2067312371659965,0.19888097047805786,0.19888097047805786,499500
1984-05-15,0.204115092754364,0.20934828539994374,0.204115092754364,0.204115092754364,436500
1984-05-16,0.204115092754364,0.20934828539994374,0.204115092754364,0.204115092754364,351000
1984-05-17,0.204115092754364,0.20673122582610826,0.204115092754364,0.204115092754364,652500
1984-05-18,0.17794635891914368,0.1831795526521081,0.17794635891914368,0.1831795526521081,3847500
1984-05-21,0.17794635891914368,0.1831795526521081,0.17794635891914368,0.17794635891914368,2254500
1984-05-22,0.17794635891914368,0.1831795526521081,0.17794635891914368,0.17794635891914368,121500
1984-05-23,0.18056340515613556,0.18317952432906057,0.18056340515613556,0.18056340515613556,148500
1984-05-24,0.18056340515613556,0.18317952432906057,0.18056340515613556,0.18056340515613556,234000
1984-05-25,0.18056340515613556,0.18317952432906057,0.18056340515613556,0.18056340515613556,1584000
1984-05-29,0.18056340515613556,0.18579658404203736,0.18056340515613556,0.18056340515613556,193500
1984-05-30,0.18056340515613556,0.18317952432906057,0.18056340515613556,0.18056340515613556,333000
1984-05-31,0.18056340515613556,0.18317952432906057,0.18056340515613556,0.18056340515613556,4500
1984-06-01,0.1857966184616089,0.19103075289511814,0.1857966184616089,0.1857966184616089,1030500
1984-06-04,0.18841366469860077,0.1936477983543053,0.18841366469860077,0.18841366469860077,72000
1984-06-05,0.19103075563907623,0.19364782991237933,0.19103075563907623,0.19103075563907623,1035000
1984-06-06,0.19103075563907623,0.19364782991237933,0.19103075563907623,0.19103075563907623,1489500
1984-06-07,0.19626392424106598,0.20149805807326365,0.19626392424106598,0.19626392424106598,414000
1984-06-08,0.19626392424106598,0.20149805807326365,0.19626392424106598,0.19626392424106598,1174500
1984-06-11,0.19626392424106598,0.20411511797040638,0.19626392424106598,0.19626392424106598,1201500
1984-06-12,0.19888097047805786,0.20411510395074878,0.19888097047805786,0.19888097047805786,1264500
1984-06-13,0.19888097047805786,0.2067312371659965,0.19888097047805786,0.19888097047805786,729000
1984-06-14,0.19888097047805786,0.20934829688338635,0.19888097047805786,0.19888097047805786,103500
1984-06-15,0.19888097047805786,0.20934829688338635,0.19888097047805786,0.19888097047805786,13500
1984-06-18,0.19888097047805786,0.20934829688338635,0.19888097047805786,0.19888097047805786,45000
1984-06-19,0.2014980912208557,0.20934834570149008,0.2014980912208557,0.2014980912208557,58500
1984-06-20,0.2014980912208557,0.2067312853738259,0.2014980912208557,0.2014980912208557,207000
1984-06-21,0.2014980912208557,0.2067312853738259,0.2014980912208557,0.2014980912208557,108000
1984-06-22,0.2014980912208557,0.2067312853738259,0.2014980912208557,0.2014980912208557,148500
1984-06-25,0.19888097047805786,0.20411510395074878,0.19888097047805786,0.20149804423335893,108000
1984-06-26,0.1936478167772293,0.20411513050646118,0.1936478167772293,0.19888099635280085,153000
1984-06-27,0.1936478167772293,0.20149807044858756,0.1936478167772293,0.1936478167772293,27000
1984-06-28,0.18841366469860077,0.1936477983543053,0.18841366469860077,0.1936477983543053,603000
1984-06-29,0.18841366469860077,0.1936477983543053,0.18841366469860077,0.18841366469860077,36000
1984-07-02,0.18841366469860077,0.19103072450749717,0.18841366469860077,0.18841366469860077,36000
1984-07-03,0.17794635891914368,0.1831795526521081,0.17794635891914368,0.1831795526521081,90000
1984-07-05,0.17794635891914368,0.1831795526521081,0.17794635891914368,0.17794635891914368,40500
1984-07-06,0.17794635891914368,0.1831795526521081,0.17794635891914368,0.17794635891914368,45000
1984-07-09,0.17271220684051514,0.18056341445980756,0.17271220684051514,0.17794634057407277,67500
1984-07-10,0.17271220684051514,0.18056341445980756,0.17271220684051514,0.17271220684051514,9000
