Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-01-01,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-02,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-03,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-04,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-05,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-06,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-07,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-08,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-09,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-10,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-11,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-12,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-13,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-14,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-15,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-16,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-17,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-18,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-19,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-20,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-21,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-22,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-23,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-24,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-25,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-26,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-27,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-28,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-29,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-30,6473000000.0,1400000000.0,47572000000.0,,,
2024-01-31,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-01,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-02,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-03,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-04,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-05,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-06,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-07,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-08,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-09,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-10,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-11,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-12,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-13,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-14,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-15,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-16,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-17,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-18,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-19,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-20,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-21,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-22,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-23,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-24,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-25,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-26,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-27,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-28,6473000000.0,1400000000.0,47572000000.0,,,
2024-02-29,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-01,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-02,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-03,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-04,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-05,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-06,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-07,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-08,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-09,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-10,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-11,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-12,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-13,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-14,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-15,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-16,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-17,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-18,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-19,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-20,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-21,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-22,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-23,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-24,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-25,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-26,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-27,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-28,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-29,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-30,6473000000.0,1400000000.0,47572000000.0,,,
2024-03-31,6473000000.0,1400000000.0,47572000000.0,,,
2024-04-01,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-02,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-03,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-04,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-05,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-06,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-07,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-08,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-09,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-10,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-11,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-12,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-13,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-14,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-15,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-16,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-17,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-18,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-19,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-20,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-21,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-22,6221000000.0,1125000000.0,48591000000.0,,,
2024-04-23,6221000000.0,1125000000.0,48591000000.0,,,
