Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2023-10-01,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-02,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-03,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-04,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-05,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-06,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-07,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-08,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-09,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-10,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-11,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-12,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-13,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-14,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-15,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-16,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-17,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-18,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-19,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-20,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-21,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-22,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-23,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-24,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-25,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-26,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-27,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-28,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-29,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-30,14630000000.0,-1226000000.0,106675000000.0,,,
2023-10-31,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-01,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-02,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-03,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-04,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-05,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-06,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-07,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-08,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-09,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-10,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-11,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-12,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-13,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-14,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-15,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-16,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-17,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-18,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-19,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-20,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-21,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-22,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-23,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-24,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-25,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-26,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-27,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-28,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-29,14630000000.0,-1226000000.0,106675000000.0,,,
2023-11-30,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-01,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-02,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-03,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-04,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-05,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-06,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-07,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-08,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-09,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-10,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-11,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-12,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-13,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-14,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-15,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-16,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-17,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-18,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-19,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-20,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-21,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-22,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-23,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-24,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-25,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-26,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-27,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-28,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-29,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-30,14630000000.0,-1226000000.0,106675000000.0,,,
2023-12-31,14630000000.0,-1226000000.0,106675000000.0,,,
2024-01-01,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-02,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-03,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-04,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-05,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-06,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-07,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-08,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-09,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-10,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-11,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-12,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-13,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-14,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-15,15775000000.0,4762000000.0,105849000000.0,,,
2024-01-16,15775000000.0,4762000000.0,105849000000.0,,,
