Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2023-07-01,,,,,,
2023-07-02,,,,,,
2023-07-03,,,,,,
2023-07-04,,,,,,
2023-07-05,,,,,,
2023-07-06,,,,,,
2023-07-07,,,,,,
2023-07-08,,,,,,
2023-07-09,,,,,,
2023-07-10,,,,,,
2023-07-11,,,,,,
2023-07-12,,,,,,
2023-07-13,,,,,,
2023-07-14,,,,,,
2023-07-15,,,,,,
2023-07-16,,,,,,
2023-07-17,,,,,,
2023-07-18,,,,,,
2023-07-19,,,,,,
2023-07-20,,,,,,
2023-07-21,,,,,,
2023-07-22,,,,,,
2023-07-23,,,,,,
2023-07-24,,,,,,
2023-07-25,,,,,,
2023-07-26,,,,,,
2023-07-27,,,,,,
2023-07-28,,,,,,
2023-07-29,,,,,,
2023-07-30,,,,,,
2023-07-31,,,,,,
2023-08-01,,,,,,
2023-08-02,,,,,,
2023-08-03,,,,,,
2023-08-04,,,,,,
2023-08-05,,,,,,
2023-08-06,,,,,,
2023-08-07,,,,,,
2023-08-08,,,,,,
2023-08-09,,,,,,
2023-08-10,,,,,,
2023-08-11,,,,,,
2023-08-12,,,,,,
2023-08-13,,,,,,
2023-08-14,,,,,,
2023-08-15,,,,,,
2023-08-16,,,,,,
2023-08-17,,,,,,
2023-08-18,,,,,,
2023-08-19,,,,,,
2023-08-20,,,,,,
2023-08-21,,,,,,
2023-08-22,,,,,,
2023-08-23,,,,,,
2023-08-24,,,,,,
2023-08-25,,,,,,
2023-08-26,,,,,,
2023-08-27,,,,,,
2023-08-28,,,,,,
2023-08-29,,,,,,
2023-08-30,,,,,,
2023-08-31,,,,,,
2023-09-01,,,,,,
2023-09-02,,,,,,
2023-09-03,,,,,,
2023-09-04,,,,,,
2023-09-05,,,,,,
2023-09-06,,,,,,
2023-09-07,,,,,,
2023-09-08,,,,,,
2023-09-09,,,,,,
2023-09-10,,,,,,
2023-09-11,,,,,,
2023-09-12,,,,,,
2023-09-13,,,,,,
2023-09-14,,,,,,
2023-09-15,,,,,,
2023-09-16,,,,,,
2023-09-17,,,,,,
2023-09-18,,,,,,
2023-09-19,,,,,,
2023-09-20,,,,,,
2023-09-21,,,,,,
2023-09-22,,,,,,
2023-09-23,,,,,,
2023-09-24,,,,,,
2023-09-25,,,,,,
2023-09-26,,,,,,
2023-09-27,,,,,,
2023-09-28,,,,,,
2023-09-29,,,,,,
2023-09-30,,,,,,
2023-10-01,8832825000.0,937838000.0,48731992000.0,,,
2023-10-02,8832825000.0,937838000.0,48731992000.0,,,
2023-10-03,8832825000.0,937838000.0,48731992000.0,,,
2023-10-04,8832825000.0,937838000.0,48731992000.0,,,
2023-10-05,8832825000.0,937838000.0,48731992000.0,,,
2023-10-06,8832825000.0,937838000.0,48731992000.0,,,
2023-10-07,8832825000.0,937838000.0,48731992000.0,,,
2023-10-08,8832825000.0,937838000.0,48731992000.0,,,
2023-10-09,8832825000.0,937838000.0,48731992000.0,,,
2023-10-10,8832825000.0,937838000.0,48731992000.0,,,
2023-10-11,8832825000.0,937838000.0,48731992000.0,,,
2023-10-12,8832825000.0,937838000.0,48731992000.0,,,
2023-10-13,8832825000.0,937838000.0,48731992000.0,,,
2023-10-14,8832825000.0,937838000.0,48731992000.0,,,
2023-10-15,8832825000.0,937838000.0,48731992000.0,,,
2023-10-16,8832825000.0,937838000.0,48731992000.0,,,
2023-10-17,8832825000.0,937838000.0,48731992000.0,,,
2023-10-18,8832825000.0,937838000.0,48731992000.0,,,
2023-10-19,8832825000.0,937838000.0,48731992000.0,,,
2023-10-20,8832825000.0,937838000.0,48731992000.0,,,
2023-10-21,8832825000.0,937838000.0,48731992000.0,,,
2023-10-22,8832825000.0,937838000.0,48731992000.0,,,
2023-10-23,8832825000.0,937838000.0,48731992000.0,,,
2023-10-24,8832825000.0,937838000.0,48731992000.0,,,
2023-10-25,8832825000.0,937838000.0,48731992000.0,,,
2023-10-26,8832825000.0,937838000.0,48731992000.0,,,
2023-10-27,8832825000.0,937838000.0,48731992000.0,,,
2023-10-28,8832825000.0,937838000.0,48731992000.0,,,
2023-10-29,8832825000.0,937838000.0,48731992000.0,,,
2023-10-30,8832825000.0,937838000.0,48731992000.0,,,
2023-10-31,8832825000.0,937838000.0,48731992000.0,,,
2023-11-01,8832825000.0,937838000.0,48731992000.0,,,
2023-11-02,8832825000.0,937838000.0,48731992000.0,,,
2023-11-03,8832825000.0,937838000.0,48731992000.0,,,
2023-11-04,8832825000.0,937838000.0,48731992000.0,,,
2023-11-05,8832825000.0,937838000.0,48731992000.0,,,
2023-11-06,8832825000.0,937838000.0,48731992000.0,,,
