Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-01-01,2603000000.0,347000000.0,17544000000.0,,,
2024-01-02,2603000000.0,347000000.0,17544000000.0,,,
2024-01-03,2603000000.0,347000000.0,17544000000.0,,,
2024-01-04,2603000000.0,347000000.0,17544000000.0,,,
2024-01-05,2603000000.0,347000000.0,17544000000.0,,,
2024-01-06,2603000000.0,347000000.0,17544000000.0,,,
2024-01-07,2603000000.0,347000000.0,17544000000.0,,,
2024-01-08,2603000000.0,347000000.0,17544000000.0,,,
2024-01-09,2603000000.0,347000000.0,17544000000.0,,,
2024-01-10,2603000000.0,347000000.0,17544000000.0,,,
2024-01-11,2603000000.0,347000000.0,17544000000.0,,,
2024-01-12,2603000000.0,347000000.0,17544000000.0,,,
2024-01-13,2603000000.0,347000000.0,17544000000.0,,,
2024-01-14,2603000000.0,347000000.0,17544000000.0,,,
2024-01-15,2603000000.0,347000000.0,17544000000.0,,,
2024-01-16,2603000000.0,347000000.0,17544000000.0,,,
2024-01-17,2603000000.0,347000000.0,17544000000.0,,,
2024-01-18,2603000000.0,347000000.0,17544000000.0,,,
2024-01-19,2603000000.0,347000000.0,17544000000.0,,,
2024-01-20,2603000000.0,347000000.0,17544000000.0,,,
2024-01-21,2603000000.0,347000000.0,17544000000.0,,,
2024-01-22,2603000000.0,347000000.0,17544000000.0,,,
2024-01-23,2603000000.0,347000000.0,17544000000.0,,,
2024-01-24,2603000000.0,347000000.0,17544000000.0,,,
2024-01-25,2603000000.0,347000000.0,17544000000.0,,,
2024-01-26,2603000000.0,347000000.0,17544000000.0,,,
2024-01-27,2603000000.0,347000000.0,17544000000.0,,,
2024-01-28,2603000000.0,347000000.0,17544000000.0,,,
2024-01-29,2603000000.0,347000000.0,17544000000.0,,,
2024-01-30,2603000000.0,347000000.0,17544000000.0,,,
2024-01-31,2603000000.0,347000000.0,17544000000.0,,,
2024-02-01,2603000000.0,347000000.0,17544000000.0,,,
2024-02-02,2603000000.0,347000000.0,17544000000.0,,,
2024-02-03,2603000000.0,347000000.0,17544000000.0,,,
2024-02-04,2603000000.0,347000000.0,17544000000.0,,,
2024-02-05,2603000000.0,347000000.0,17544000000.0,,,
2024-02-06,2603000000.0,347000000.0,17544000000.0,,,
2024-02-07,2603000000.0,347000000.0,17544000000.0,,,
2024-02-08,2603000000.0,347000000.0,17544000000.0,,,
2024-02-09,2603000000.0,347000000.0,17544000000.0,,,
2024-02-10,2603000000.0,347000000.0,17544000000.0,,,
2024-02-11,2603000000.0,347000000.0,17544000000.0,,,
2024-02-12,2603000000.0,347000000.0,17544000000.0,,,
2024-02-13,2603000000.0,347000000.0,17544000000.0,,,
2024-02-14,2603000000.0,347000000.0,17544000000.0,,,
2024-02-15,2603000000.0,347000000.0,17544000000.0,,,
2024-02-16,2603000000.0,347000000.0,17544000000.0,,,
2024-02-17,2603000000.0,347000000.0,17544000000.0,,,
2024-02-18,2603000000.0,347000000.0,17544000000.0,,,
2024-02-19,2603000000.0,347000000.0,17544000000.0,,,
2024-02-20,2603000000.0,347000000.0,17544000000.0,,,
2024-02-21,2603000000.0,347000000.0,17544000000.0,,,
2024-02-22,2603000000.0,347000000.0,17544000000.0,,,
2024-02-23,2603000000.0,347000000.0,17544000000.0,,,
2024-02-24,2603000000.0,347000000.0,17544000000.0,,,
2024-02-25,2603000000.0,347000000.0,17544000000.0,,,
2024-02-26,2603000000.0,347000000.0,17544000000.0,,,
2024-02-27,2603000000.0,347000000.0,17544000000.0,,,
2024-02-28,2603000000.0,347000000.0,17544000000.0,,,
2024-02-29,2603000000.0,347000000.0,17544000000.0,,,
2024-03-01,2603000000.0,347000000.0,17544000000.0,,,
2024-03-02,2603000000.0,347000000.0,17544000000.0,,,
2024-03-03,2603000000.0,347000000.0,17544000000.0,,,
2024-03-04,2603000000.0,347000000.0,17544000000.0,,,
2024-03-05,2603000000.0,347000000.0,17544000000.0,,,
2024-03-06,2603000000.0,347000000.0,17544000000.0,,,
2024-03-07,2603000000.0,347000000.0,17544000000.0,,,
2024-03-08,2603000000.0,347000000.0,17544000000.0,,,
2024-03-09,2603000000.0,347000000.0,17544000000.0,,,
2024-03-10,2603000000.0,347000000.0,17544000000.0,,,
2024-03-11,2603000000.0,347000000.0,17544000000.0,,,
2024-03-12,2603000000.0,347000000.0,17544000000.0,,,
2024-03-13,2603000000.0,347000000.0,17544000000.0,,,
2024-03-14,2603000000.0,347000000.0,17544000000.0,,,
2024-03-15,2603000000.0,347000000.0,17544000000.0,,,
2024-03-16,2603000000.0,347000000.0,17544000000.0,,,
2024-03-17,2603000000.0,347000000.0,17544000000.0,,,
2024-03-18,2603000000.0,347000000.0,17544000000.0,,,
2024-03-19,2603000000.0,347000000.0,17544000000.0,,,
2024-03-20,2603000000.0,347000000.0,17544000000.0,,,
2024-03-21,2603000000.0,347000000.0,17544000000.0,,,
2024-03-22,2603000000.0,347000000.0,17544000000.0,,,
2024-03-23,2603000000.0,347000000.0,17544000000.0,,,
2024-03-24,2603000000.0,347000000.0,17544000000.0,,,
2024-03-25,2603000000.0,347000000.0,17544000000.0,,,
2024-03-26,2603000000.0,347000000.0,17544000000.0,,,
2024-03-27,2603000000.0,347000000.0,17544000000.0,,,
2024-03-28,2603000000.0,347000000.0,17544000000.0,,,
2024-03-29,2603000000.0,347000000.0,17544000000.0,,,
2024-03-30,2603000000.0,347000000.0,17544000000.0,,,
2024-03-31,2603000000.0,347000000.0,17544000000.0,,,
2024-04-01,2627000000.0,262000000.0,18207000000.0,,,
2024-04-02,2627000000.0,262000000.0,18207000000.0,,,
2024-04-03,2627000000.0,262000000.0,18207000000.0,,,
2024-04-04,2627000000.0,262000000.0,18207000000.0,,,
2024-04-05,2627000000.0,262000000.0,18207000000.0,,,
2024-04-06,2627000000.0,262000000.0,18207000000.0,,,
2024-04-07,2627000000.0,262000000.0,18207000000.0,,,
2024-04-08,2627000000.0,262000000.0,18207000000.0,,,
2024-04-09,2627000000.0,262000000.0,18207000000.0,,,
2024-04-10,2627000000.0,262000000.0,18207000000.0,,,
2024-04-11,2627000000.0,262000000.0,18207000000.0,,,
2024-04-12,2627000000.0,262000000.0,18207000000.0,,,
2024-04-13,2627000000.0,262000000.0,18207000000.0,,,
2024-04-14,2627000000.0,262000000.0,18207000000.0,,,
2024-04-15,2627000000.0,262000000.0,18207000000.0,,,
2024-04-16,2627000000.0,262000000.0,18207000000.0,,,
2024-04-17,2627000000.0,262000000.0,18207000000.0,,,
2024-04-18,2627000000.0,262000000.0,18207000000.0,,,
2024-04-19,2627000000.0,262000000.0,18207000000.0,,,
2024-04-20,2627000000.0,262000000.0,18207000000.0,,,
2024-04-21,2627000000.0,262000000.0,18207000000.0,,,
2024-04-22,2627000000.0,262000000.0,18207000000.0,,,
2024-04-23,2627000000.0,262000000.0,18207000000.0,,,
2024-04-24,2627000000.0,262000000.0,18207000000.0,,,
2024-04-25,2627000000.0,262000000.0,18207000000.0,,,
2024-04-26,2627000000.0,262000000.0,18207000000.0,,,
2024-04-27,2627000000.0,262000000.0,18207000000.0,,,
2024-04-28,2627000000.0,262000000.0,18207000000.0,,,
2024-04-29,2627000000.0,262000000.0,18207000000.0,,,
2024-04-30,2627000000.0,262000000.0,18207000000.0,,,
2024-05-01,2627000000.0,262000000.0,18207000000.0,,,
2024-05-02,2627000000.0,262000000.0,18207000000.0,,,
2024-05-03,2627000000.0,262000000.0,18207000000.0,,,
2024-05-04,2627000000.0,262000000.0,18207000000.0,,,
2024-05-05,2627000000.0,262000000.0,18207000000.0,,,
2024-05-06,2627000000.0,262000000.0,18207000000.0,,,
2024-05-07,2627000000.0,262000000.0,18207000000.0,,,
2024-05-08,2627000000.0,262000000.0,18207000000.0,,,
2024-05-09,2627000000.0,262000000.0,18207000000.0,,,
2024-05-10,2627000000.0,262000000.0,18207000000.0,,,
2024-05-11,2627000000.0,262000000.0,18207000000.0,,,
2024-05-12,2627000000.0,262000000.0,18207000000.0,,,
2024-05-13,2627000000.0,262000000.0,18207000000.0,,,
2024-05-14,2627000000.0,262000000.0,18207000000.0,,,
2024-05-15,2627000000.0,262000000.0,18207000000.0,,,
