Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-01-01,,,,,,
2024-01-02,,,,,,
2024-01-03,,,,,,
2024-01-04,,,,,,
2024-01-05,,,,,,
2024-01-06,,,,,,
2024-01-07,,,,,,
2024-01-08,,,,,,
2024-01-09,,,,,,
2024-01-10,,,,,,
2024-01-11,,,,,,
2024-01-12,,,,,,
2024-01-13,,,,,,
2024-01-14,,,,,,
2024-01-15,,,,,,
2024-01-16,,,,,,
2024-01-17,,,,,,
2024-01-18,,,,,,
2024-01-19,,,,,,
2024-01-20,,,,,,
2024-01-21,,,,,,
2024-01-22,,,,,,
2024-01-23,,,,,,
2024-01-24,,,,,,
2024-01-25,,,,,,
2024-01-26,,,,,,
2024-01-27,,,,,,
2024-01-28,,,,,,
2024-01-29,,,,,,
2024-01-30,,,,,,
2024-01-31,,,,,,
2024-02-01,,,,,,
2024-02-02,,,,,,
2024-02-03,,,,,,
2024-02-04,,,,,,
2024-02-05,,,,,,
2024-02-06,,,,,,
2024-02-07,,,,,,
2024-02-08,,,,,,
2024-02-09,,,,,,
2024-02-10,,,,,,
2024-02-11,,,,,,
2024-02-12,,,,,,
2024-02-13,,,,,,
2024-02-14,,,,,,
2024-02-15,,,,,,
2024-02-16,,,,,,
2024-02-17,,,,,,
2024-02-18,,,,,,
2024-02-19,,,,,,
2024-02-20,,,,,,
2024-02-21,,,,,,
2024-02-22,,,,,,
2024-02-23,,,,,,
2024-02-24,,,,,,
2024-02-25,,,,,,
2024-02-26,,,,,,
2024-02-27,,,,,,
2024-02-28,,,,,,
2024-02-29,,,,,,
2024-03-01,,,,,,
2024-03-02,,,,,,
2024-03-03,,,,,,
2024-03-04,,,,,,
2024-03-05,,,,,,
2024-03-06,,,,,,
2024-03-07,,,,,,
2024-03-08,,,,,,
2024-03-09,,,,,,
2024-03-10,,,,,,
2024-03-11,,,,,,
2024-03-12,,,,,,
2024-03-13,,,,,,
2024-03-14,,,,,,
2024-03-15,,,,,,
2024-03-16,,,,,,
2024-03-17,,,,,,
2024-03-18,,,,,,
2024-03-19,,,,,,
2024-03-20,,,,,,
2024-03-21,,,,,,
2024-03-22,,,,,,
2024-03-23,,,,,,
2024-03-24,,,,,,
2024-03-25,,,,,,
2024-03-26,,,,,,
2024-03-27,,,,,,
2024-03-28,,,,,,
2024-03-29,,,,,,
2024-03-30,,,,,,
2024-03-31,,,,,,
2024-07-01,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-02,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-03,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-04,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-05,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-06,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-07,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-08,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-09,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-10,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-11,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-12,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-13,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-14,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-15,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-16,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-17,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-18,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-19,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-20,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-21,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-22,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-23,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-24,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-25,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-26,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-27,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-28,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-29,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-30,30040000000.0,16599000000.0,85227000000.0,,,
2024-07-31,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-01,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-02,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-03,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-04,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-05,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-06,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-07,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-08,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-09,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-10,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-11,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-12,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-13,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-14,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-15,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-16,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-17,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-18,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-19,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-20,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-21,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-22,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-23,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-24,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-25,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-26,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-27,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-28,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-29,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-30,30040000000.0,16599000000.0,85227000000.0,,,
2024-08-31,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-01,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-02,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-03,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-04,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-05,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-06,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-07,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-08,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-09,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-10,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-11,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-12,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-13,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-14,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-15,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-16,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-17,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-18,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-19,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-20,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-21,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-22,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-23,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-24,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-25,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-26,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-27,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-28,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-29,30040000000.0,16599000000.0,85227000000.0,,,
2024-09-30,30040000000.0,16599000000.0,85227000000.0,,,
2024-10-01,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-02,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-03,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-04,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-05,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-06,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-07,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-08,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-09,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-10,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-11,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-12,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-13,35082000000.0,19309000000.0,96013000000.0,,,
2024-10-14,35082000000.0,19309000000.0,96013000000.0,,,
