Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2023-10-01,,,,,,
2023-10-02,,,,,,
2023-10-03,,,,,,
2023-10-04,,,,,,
2023-10-05,,,,,,
2023-10-06,,,,,,
2023-10-07,,,,,,
2023-10-08,,,,,,
2023-10-09,,,,,,
2023-10-10,,,,,,
2023-10-11,,,,,,
2023-10-12,,,,,,
2023-10-13,,,,,,
2023-10-14,,,,,,
2023-10-15,,,,,,
2023-10-16,,,,,,
2023-10-17,,,,,,
2023-10-18,,,,,,
2023-10-19,,,,,,
2023-10-20,,,,,,
2023-10-21,,,,,,
2023-10-22,,,,,,
2023-10-23,,,,,,
2023-10-24,,,,,,
2023-10-25,,,,,,
2023-10-26,,,,,,
2023-10-27,,,,,,
2023-10-28,,,,,,
2023-10-29,,,,,,
2023-10-30,,,,,,
2023-10-31,,,,,,
2023-11-01,,,,,,
2023-11-02,,,,,,
2023-11-03,,,,,,
2023-11-04,,,,,,
2023-11-05,,,,,,
2023-11-06,,,,,,
2023-11-07,,,,,,
2023-11-08,,,,,,
2023-11-09,,,,,,
2023-11-10,,,,,,
2023-11-11,,,,,,
2023-11-12,,,,,,
2023-11-13,,,,,,
2023-11-14,,,,,,
2023-11-15,,,,,,
2023-11-16,,,,,,
2023-11-17,,,,,,
2023-11-18,,,,,,
2023-11-19,,,,,,
2023-11-20,,,,,,
2023-11-21,,,,,,
2023-11-22,,,,,,
2023-11-23,,,,,,
2023-11-24,,,,,,
2023-11-25,,,,,,
2023-11-26,,,,,,
2023-11-27,,,,,,
2023-11-28,,,,,,
2023-11-29,,,,,,
2023-11-30,,,,,,
2023-12-01,,,,,,
2023-12-02,,,,,,
2023-12-03,,,,,,
2023-12-04,,,,,,
2023-12-05,,,,,,
2023-12-06,,,,,,
2023-12-07,,,,,,
2023-12-08,,,,,,
2023-12-09,,,,,,
2023-12-10,,,,,,
2023-12-11,,,,,,
2023-12-12,,,,,,
2023-12-13,,,,,,
2023-12-14,,,,,,
2023-12-15,,,,,,
2023-12-16,,,,,,
2023-12-17,,,,,,
2023-12-18,,,,,,
2023-12-19,,,,,,
2023-12-20,,,,,,
2023-12-21,,,,,,
2023-12-22,,,,,,
2023-12-23,,,,,,
2023-12-24,,,,,,
2023-12-25,,,,,,
2023-12-26,,,,,,
2023-12-27,,,,,,
2023-12-28,,,,,,
2023-12-29,,,,,,
2023-12-30,,,,,,
2023-12-31,,,,,,
2024-01-01,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-02,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-03,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-04,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-05,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-06,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-07,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-08,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-09,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-10,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-11,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-12,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-13,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-14,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-15,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-16,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-17,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-18,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-19,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-20,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-21,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-22,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-23,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-24,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-25,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-26,20195000000.0,3754000000.0,119598000000.0,,,
2024-01-27,20195000000.0,3754000000.0,119598000000.0,,,
