Price,Close,High,Low,Open,Volume
Ticker,PLD,PLD,PLD,PLD,PLD
Date,,,,,
1997-11-21,7.746528625488281,7.914931421694549,7.662327227385148,7.914931421694549,3821400
1997-11-24,7.662330627441406,7.746532062907796,7.493927756508628,7.746532062907796,541600
1997-11-25,7.746528625488281,7.746528625488282,7.641276877859365,7.704427926436715,425000
1997-11-26,7.662330627441406,7.746532062907796,7.662330627441407,7.746532062907796,165200
1997-11-28,7.746528625488281,7.746528625488282,7.662327227385148,7.662327227385148,60500
1997-12-01,7.767580509185791,7.788630862869221,7.74653015550236,7.767580509185791,120300
1997-12-02,7.746528625488281,7.788629324539849,7.704427926436715,7.788629324539849,164200
1997-12-03,7.746528625488281,7.767578975014065,7.725478275962499,7.767578975014065,540000
1997-12-04,7.746528625488281,7.767578975014065,7.746528625488282,7.746528625488282,43800
1997-12-05,7.767580509185791,7.872832277602942,7.7044294481355,7.7044294481355,147500
1997-12-08,7.80967903137207,7.8307293791655255,7.746527987991703,7.746527987991703,74900
1997-12-09,7.80967903137207,7.80967903137207,7.746527987991703,7.788628683578614,61000
1997-12-10,7.767580509185791,7.830731570236082,7.767580509185791,7.788630862869221,104500
1997-12-11,7.767580509185791,7.788630862869221,7.74653015550236,7.74653015550236,153600
1997-12-12,7.80967903137207,7.80967903137207,7.767578335785159,7.767578335785159,59900
1997-12-15,7.80967903137207,7.80967903137207,7.767578335785159,7.788628683578614,24400
1997-12-16,8.003283500671387,8.045628916018854,7.85507454695525,7.85507454695525,107900
1997-12-17,8.19383716583252,8.215009871687384,8.024455518993605,8.04562822484847,63900
1997-12-18,8.215011596679688,8.215011596679688,8.172666176078247,8.172666176078247,35700
1997-12-19,8.087972640991211,8.21500886048322,8.045627234493875,8.21500886048322,134400
1997-12-22,8.130321502685547,8.172666927178701,8.087976078192394,8.10914879043897,34400
1997-12-23,8.130321502685547,8.193839639425278,8.130321502685547,8.130321502685547,88500
1997-12-24,8.130321502685547,8.130321502685547,8.066803365945816,8.10914879043897,63300
1997-12-26,8.02445125579834,8.087969339617324,7.982105866585684,8.087969339617324,34600
1997-12-29,8.066802024841309,8.15149285974778,8.045629316114692,8.087974733567926,159600
1997-12-30,8.23618221282959,8.23618221282959,8.024455163656592,8.13031868824309,52400
1997-12-31,8.511425018310547,8.511425018310547,8.257352629704261,8.257352629704261,215700
1998-01-02,8.426737785339355,8.469083201346086,8.342046953325895,8.469083201346086,52000
1998-01-05,8.342046737670898,8.447910274950985,8.342046737670898,8.384392152582933,42300
1998-01-06,8.363219261169434,8.384391968159736,8.34204655417913,8.384391968159736,26900
1998-01-07,8.342046737670898,8.384392152582933,8.278528615302845,8.363219445126916,49500
1998-01-08,8.320871353149414,8.384389455081854,8.257353251216976,8.299698652505269,95700
1998-01-09,8.257357597351074,8.299703020927234,8.172666750198756,8.299703020927234,37800
1998-01-12,8.278531074523926,8.278531074523926,8.045631223322486,8.172667505795998,24500
1998-01-13,8.320871353149414,8.342044053793561,8.278525951861122,8.299698652505269,190300
1998-01-14,8.38438892364502,8.38438892364502,8.215007329227948,8.299698126436484,201800
1998-01-15,8.299697875976562,8.384388670629384,8.299697875976562,8.384388670629384,39200
1998-01-16,8.299697875976562,8.320870574639768,8.257352478650152,8.320870574639768,13600
1998-01-20,8.342046737670898,8.384392152582933,8.320874030214881,8.342046737670898,63200
1998-01-21,8.38438892364502,8.426734322249287,8.320870825738618,8.363216224342885,90400
1998-01-22,8.363219261169434,8.42673738214034,8.34204655417913,8.42673738214034,99600
1998-01-23,8.278531074523926,8.384394643251854,8.278531074523926,8.384394643251854,11200
1998-01-26,8.172669410705566,8.257360285427904,8.172669410705566,8.23618756674732,50500
1998-01-27,8.215011596679688,8.299702437882571,8.130320755476804,8.215011596679688,17300
1998-01-28,8.130321502685547,8.172666927178701,8.087976078192394,8.172666927178701,68700
1998-01-29,8.130321502685547,8.172666927178701,8.04563065369924,8.04563065369924,67700
1998-01-30,8.299697875976562,8.299697875976562,8.130316286670919,8.130316286670919,33000
1998-02-02,8.38438892364502,8.38438892364502,8.27852542713435,8.299698126436484,31000
1998-02-03,8.299697875976562,8.384388670629384,8.299697875976562,8.342043273302973,18300
1998-02-04,8.257357597351074,8.320875732715313,8.257357597351074,8.320875732715313,29200
1998-02-05,8.299697875976562,8.342043273302973,8.257352478650152,8.257352478650152,10900
1998-02-06,8.299697875976562,8.299697875976562,8.17266168399733,8.299697875976562,129200
1998-02-09,8.23618221282959,8.23618221282959,8.10914598332579,8.19383680299499,101100
1998-02-10,8.342046737670898,8.342046737670898,8.23618320039081,8.257355907846827,35000
1998-02-11,8.342046737670898,8.342046737670898,8.278528615302845,8.342046737670898,40400
1998-02-12,8.299697875976562,8.342043273302973,8.236179779986946,8.299697875976562,34500
1998-02-13,8.299697875976562,8.342043273302973,8.257352478650152,8.320870574639768,73100
1998-02-17,8.405560493469238,8.405560493469238,8.299697011183731,8.342042404097933,110500
1998-02-18,8.172669410705566,8.363223878830826,8.087978535983229,8.363223878830826,85500
1998-02-19,8.130321502685547,8.215012351671856,8.130321502685547,8.215012351671856,7900
1998-02-20,8.19383716583252,8.257355283397112,8.130319048267927,8.130319048267927,82700
1998-02-23,8.15149211883545,8.215010239241959,8.130319412033279,8.172664825637618,26300
1998-02-24,8.087972640991211,8.193836157234552,8.087972640991211,8.151490750737215,8700
1998-02-25,8.045631408691406,8.109149551391601,8.045631408691406,8.087976837158203,45600
1998-02-26,8.003283500671387,8.087974331366322,8.003283500671387,8.045628916018854,21300
1998-02-27,7.960938453674316,8.066801996941262,7.960938453674316,8.003283870981095,42700
1998-03-02,7.939767360687256,8.04563092549642,7.939767360687256,8.04563092549642,102800
1998-03-03,7.982109069824219,8.024454476030183,7.939763663618255,7.939763663618255,24500
1998-03-04,7.9185943603515625,8.003285209125375,7.9185943603515625,8.003285209125375,108100
1998-03-05,7.939767360687256,7.9609400736490885,7.918594647725423,7.918594647725423,43100
1998-03-06,7.960938453674316,8.066801996941262,7.939765745020927,7.939765745020927,17400
1998-03-09,8.130321502685547,8.193839639425278,7.960939804712932,7.960939804712932,105300
1998-03-10,8.130321502685547,8.215012351671856,8.130321502685547,8.172666927178701,89800
1998-03-11,8.19383716583252,8.19383716583252,8.130319048267927,8.130319048267927,8200
1998-03-12,8.130321502685547,8.193839639425278,8.130321502685547,8.193839639425278,103000
1998-03-13,8.087972640991211,8.130318047488547,8.066799937742543,8.066799937742543,438900
1998-03-16,8.098113059997559,8.119593465992248,7.990711030024117,8.119593465992248,16000
1998-03-17,8.076634407043457,8.098114817700488,8.033673585729396,8.055153996386426,15300
1998-03-18,8.076634407043457,8.119595228357518,8.076634407043457,8.076634407043457,39800
1998-03-19,8.20551586151123,8.20551586151123,8.076633413424666,8.076633413424666,100200
1998-03-20,8.334400177001953,8.377361002656603,8.184037287210682,8.184037287210682,137800
1998-03-23,8.377358436584473,8.420319249079776,8.334397624089167,8.334397624089167,13400
1998-03-24,8.334400177001953,8.420321828311252,8.334400177001953,8.420321828311252,10800
1998-03-25,8.355878829956055,8.42032005486574,8.334398421652825,8.377359238259283,18700
1998-03-26,8.50623607635498,8.570677258751608,8.420314499826143,8.46327528809056,22800
1998-03-27,8.570686340332031,8.570686340332031,8.463284255866718,8.506245089652843,45500
1998-03-30,8.463278770446777,8.570680785300164,8.4417983674761,8.570680785300164,20000
1998-03-31,8.291439056396484,8.420321528775705,8.291439056396484,8.420321528775705,113200
1998-04-01,8.291439056396484,8.334399880522891,8.184036996080469,8.26995864433328,32600
1998-04-02,8.2484769821167,8.44180066138506,8.2484769821167,8.33439861734708,58100
1998-04-03,8.076634407043457,8.22699728164267,7.990712764415335,8.22699728164267,64100
1998-04-06,7.990708351135254,8.098110345102127,7.96922795234188,8.076629946308751,114700
1998-04-07,7.904784679412842,7.969225858864577,7.904784679412841,7.947745465713998,139600
1998-04-08,8.05515193939209,8.05515193939209,7.947749913533529,7.9692303187052405,24700
1998-04-09,8.076634407043457,8.076634407043457,8.033673585729396,8.076634407043457,125900
1998-04-13,7.969230651855469,8.076632682203925,7.947750245785778,8.076632682203925,61300
1998-04-14,7.969230651855469,7.969230651855469,7.861828621507013,7.9262698397160865,93300
1998-04-15,8.076634407043457,8.119595228357518,7.947751943101274,7.947751943101274,8100
1998-04-16,7.947750568389893,8.03367219615627,7.904789754506703,8.03367219615627,21100
1998-04-17,7.926273822784424,7.969234656512253,7.818871738464852,7.926273822784424,103200
1998-04-20,7.86182975769043,7.990712212734535,7.840349348516412,7.990712212734535,20600
1998-04-21,7.797389507293701,7.818869919159525,7.754428683562056,7.818869919159525,32700
1998-04-22,8.033676147460938,8.076636982474097,7.754430719875397,7.754430719875397,67900
1998-04-23,8.033676147460938,8.076636982474097,7.969234894941198,8.033676147460938,16500
1998-04-24,8.076634407043457,8.16255604967158,8.033673585729396,8.033673585729396,24700
1998-04-27,7.926273822784424,8.076636740831825,7.926273822784424,8.033675907103996,6800
1998-04-28,7.904784679412842,8.033667038316311,7.904784679412841,8.033667038316311,16400
1998-04-29,7.947750568389893,7.969230975331486,7.947750568389892,7.969230975331486,12500
1998-04-30,7.904784679412842,8.033667038316311,7.904784679412841,7.990706252015155,15900
1998-05-01,8.269954681396484,8.269954681396484,7.904787851308847,7.904787851308847,72100
1998-05-04,8.50623607635498,8.592157652883818,8.291432135032885,8.291432135032885,102900
1998-05-05,8.50623607635498,8.549196864619399,8.377353711561723,8.549196864619399,73300
1998-05-06,8.420313835144043,8.506235404890411,8.377353050270859,8.506235404890411,65800
1998-05-07,8.549200057983398,8.549200057983398,8.420317645048975,8.420317645048975,69100
1998-05-08,8.420313835144043,8.549196189763595,8.398833442707451,8.549196189763595,55600
1998-05-11,8.076634407043457,8.420320977555944,8.076634407043457,8.420320977555944,53400
1998-05-12,8.05515193939209,8.119593154907227,7.990710723876953,8.119593154907227,57700
1998-05-13,8.076634407043457,8.119595228357518,8.076634407043457,8.098114817700488,3300
1998-05-14,8.076634407043457,8.119595228357518,8.076634407043457,8.076634407043457,1600
1998-05-15,8.119595527648926,8.119595527648926,8.076634704751312,8.076634704751312,27300
1998-05-18,8.141068458557129,8.141068458557129,8.098107675134663,8.141068458557129,27000
1998-05-19,8.033676147460938,8.141078234993838,8.033676147460938,8.141078234993838,9600
1998-05-20,8.012192726135254,8.076633954495591,7.947751497774917,8.076633954495591,15300
1998-05-21,7.947750568389893,8.098113416981052,7.947750568389892,8.055152603097863,82800
1998-05-22,7.990708351135254,7.990708351135255,7.947747553548505,7.947747553548505,2500
1998-05-26,8.033676147460938,8.162558652500417,7.990715312447778,7.990715312447778,96500
1998-05-27,8.05515193939209,8.05515193939209,7.947749913533529,7.947749913533529,49200
1998-05-28,7.990708351135254,8.055149547515377,7.96922795234188,8.033669148722003,23200
1998-05-29,8.184033393859863,8.184033393859863,7.990709770382859,7.990709770382859,48000
1998-06-01,8.119595527648926,8.226997584892958,8.098115116200118,8.226997584892958,77300
1998-06-02,8.098113059997559,8.098113059997559,8.07663265400287,8.07663265400287,11400
1998-06-03,8.076634407043457,8.098114817700488,8.076634407043457,8.098114817700488,521600
1998-06-04,8.098113059997559,8.119593465992248,8.07663265400287,8.07663265400287,6000
1998-06-05,8.141068458557129,8.184029241979594,8.141068458557129,8.141068458557129,52400
1998-06-08,8.076634407043457,8.18403646032861,8.076634407043457,8.18403646032861,40800
1998-06-09,7.969230651855469,8.055152276134235,7.947750245785778,8.033671870064543,13500
1998-06-10,7.990708351135254,8.01218874992863,7.9262671547551315,7.96922795234188,25200
1998-06-11,7.86182975769043,7.990712212734535,7.732947302646324,7.990712212734535,33100
1998-06-12,7.77590799331665,7.818868810959285,7.775907993316651,7.818868810959285,46100
1998-06-15,7.689983367919922,7.775904969796121,7.668502967450872,7.775904969796121,33800
1998-06-16,7.77590799331665,7.818868810959285,7.689986358031384,7.689986358031384,13000
1998-06-17,7.926273822784424,7.926273822784424,7.732950071009194,7.732950071009194,59700
1998-06-18,8.334400177001953,8.334400177001953,7.797389856318838,7.861831094800812,141400
1998-06-19,8.2484769821167,8.269957390924294,8.184035755693913,8.269957390924294,116200
1998-06-22,8.076634407043457,8.20551687098564,7.990712764415335,8.20551687098564,66100
1998-06-23,8.05515193939209,8.05515193939209,8.033671534220378,8.033671534220378,36100
1998-06-24,8.226995468139648,8.248475874061684,7.990711002997257,8.033671814841329,97100
1998-06-25,8.269954681396484,8.291435083166345,8.119591869007458,8.248474279626624,158000
1998-06-26,8.367400169372559,8.410980378588041,8.236659541726112,8.302029855549335,59300
1998-06-29,8.716041564941406,8.716041564941406,8.23665927886963,8.36739990234375,81900
1998-06-30,8.541716575622559,8.716037322063835,8.454556202401921,8.716037322063835,298200
1998-07-01,8.432767868041992,8.54171835729318,8.389187672341516,8.54171835729318,14900
1998-07-02,8.389193534851074,8.41098364792861,8.389193534851074,8.41098364792861,14500
1998-07-06,8.367400169372559,8.3891902739803,8.280239750941595,8.3891902739803,19000
1998-07-07,8.51993465423584,8.563514882646253,8.323823626388979,8.367403854799392,36100
1998-07-08,8.410983085632324,8.541723755357179,8.410983085632324,8.51993364373637,10000
1998-07-09,8.345611572265625,8.367401680809401,8.258451138090528,8.367401680809401,21100
1998-07-10,8.367400169372559,8.367400169372559,8.302029855549335,8.302029855549335,13700
1998-07-13,8.432767868041992,8.54171835729318,8.323817378790803,8.367397574491278,207600
1998-07-14,8.454560279846191,8.5199305912883,8.454560279846191,8.476350383660227,5500
1998-07-15,8.498141288757324,8.498141288757324,8.41098086528289,8.454561077020106,16100
1998-07-16,8.541716575622559,8.541716575622559,8.454556202401921,8.454556202401921,27200
1998-07-17,8.672465324401855,8.672465324401855,8.454564185597789,8.454564185597789,376900
1998-07-20,8.476350784301758,8.628881518209502,8.454560679457794,8.628881518209502,37100
1998-07-21,8.563512802124023,8.650673237769052,8.454562257567739,8.454562257567739,31200
1998-07-22,8.51993465423584,8.585304996851459,8.476354425825425,8.585304996851459,13700
1998-07-23,8.58530330657959,8.58530330657959,8.45456264708853,8.541723086749236,18600
1998-07-24,8.541716575622559,8.585296762232877,8.541716575622559,8.585296762232877,22900
1998-07-27,8.302030563354492,8.49814152154397,8.280240456888995,8.49814152154397,35200
1998-07-28,8.21487045288086,8.280240774787073,8.21487045288086,8.280240774787073,23200
1998-07-29,8.19308090209961,8.25845122844615,8.19308090209961,8.19308090209961,31400
1998-07-30,8.323819160461426,8.345609262975723,8.214868647889942,8.214868647889942,41100
1998-07-31,8.323819160461426,8.498139980575802,8.323819160461426,8.323819160461426,186500
1998-08-03,8.258448600769043,8.389189211863012,8.258448600769043,8.367399110014016,104100
1998-08-04,8.236661911010742,8.38919268714057,8.214871800135052,8.236661911010742,181000
1998-08-05,8.149504661560059,8.280245378055675,8.127714542144123,8.280245378055675,37300
1998-08-06,8.236661911010742,8.236661911010742,8.105921245756603,8.105921245756603,27000
1998-08-07,8.19308090209961,8.323821554792689,8.19308090209961,8.280241337228329,288500
1998-08-10,8.258448600769043,8.258448600769043,8.149498091524068,8.193078295222058,60100
1998-08-11,8.236661911010742,8.28024213276212,8.171291578383672,8.214871800135052,37800
1998-08-12,8.236661911010742,8.28024213276212,8.214871800135052,8.28024213276212,32200
1998-08-13,8.236661911010742,8.236661911010742,7.931600358751084,8.214871800135052,172200
1998-08-14,8.236661911010742,8.28024213276212,8.214871800135052,8.28024213276212,24500
1998-08-17,8.323819160461426,8.36739936549002,8.258448852918535,8.302029057947129,50100
1998-08-18,8.345611572265625,8.41098189789695,8.32382146372185,8.32382146372185,27900
1998-08-19,8.432767868041992,8.432767868041992,8.302027280940566,8.34560747664104,97300
