Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2023-10-01,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-02,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-03,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-04,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-05,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-06,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-07,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-08,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-09,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-10,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-11,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-12,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-13,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-14,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-15,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-16,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-17,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-18,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-19,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-20,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-21,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-22,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-23,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-24,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-25,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-26,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-27,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-28,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-29,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-30,9935000000.0,2767000000.0,52135000000.0,,,
2023-10-31,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-01,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-02,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-03,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-04,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-05,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-06,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-07,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-08,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-09,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-10,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-11,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-12,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-13,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-14,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-15,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-16,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-17,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-18,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-19,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-20,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-21,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-22,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-23,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-24,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-25,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-26,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-27,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-28,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-29,9935000000.0,2767000000.0,52135000000.0,,,
2023-11-30,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-01,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-02,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-03,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-04,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-05,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-06,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-07,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-08,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-09,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-10,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-11,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-12,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-13,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-14,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-15,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-16,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-17,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-18,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-19,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-20,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-21,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-22,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-23,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-24,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-25,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-26,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-27,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-28,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-29,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-30,9935000000.0,2767000000.0,52135000000.0,,,
2023-12-31,9935000000.0,2767000000.0,52135000000.0,,,
2024-01-01,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-02,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-03,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-04,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-05,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-06,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-07,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-08,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-09,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-10,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-11,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-12,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-13,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-14,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-15,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-16,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-17,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-18,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-19,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-20,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-21,9389000000.0,2326000000.0,53167000000.0,,,
2024-01-22,9389000000.0,2326000000.0,53167000000.0,,,
