Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2023-10-01,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-02,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-03,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-04,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-05,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-06,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-07,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-08,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-09,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-10,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-11,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-12,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-13,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-14,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-15,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-16,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-17,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-18,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-19,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-20,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-21,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-22,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-23,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-24,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-25,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-26,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-27,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-28,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-29,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-30,8634000000.0,4890000000.0,91409000000.0,,,
2023-10-31,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-01,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-02,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-03,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-04,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-05,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-06,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-07,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-08,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-09,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-10,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-11,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-12,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-13,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-14,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-15,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-16,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-17,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-18,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-19,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-20,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-21,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-22,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-23,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-24,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-25,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-26,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-27,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-28,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-29,8634000000.0,4890000000.0,91409000000.0,,,
2023-11-30,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-01,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-02,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-03,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-04,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-05,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-06,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-07,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-08,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-09,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-10,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-11,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-12,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-13,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-14,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-15,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-16,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-17,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-18,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-19,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-20,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-21,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-22,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-23,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-24,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-25,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-26,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-27,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-28,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-29,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-30,8634000000.0,4890000000.0,91409000000.0,,,
2023-12-31,8634000000.0,4890000000.0,91409000000.0,,,
2024-01-01,8775000000.0,4663000000.0,92399000000.0,,,
2024-01-02,8775000000.0,4663000000.0,92399000000.0,,,
2024-01-03,8775000000.0,4663000000.0,92399000000.0,,,
2024-01-04,8775000000.0,4663000000.0,92399000000.0,,,
2024-01-05,8775000000.0,4663000000.0,92399000000.0,,,
