year,report,account,fs_type,current,previous
2022,사업보고서,유동자산,,28733332000000.0,26907075000000.0
2022,사업보고서,현금및현금성자산,,4977007000000.0,5057982000000.0
2022,사업보고서,단기금융상품,,415625000000.0,474637000000.0
2022,사업보고서,단기투자자산,,1016360000000.0,3139923000000.0
2022,사업보고서,매출채권,,5186054000000.0,8267111000000.0
2022,사업보고서,기타수취채권,,272512000000.0,171464000000.0
2022,사업보고서,재고자산,,15664707000000.0,8950087000000.0
2022,사업보고서,당기법인세자산,,14523000000.0,4113000000.0
2022,사업보고서,기타유동자산,,1186544000000.0,841728000000.0
2022,사업보고서,기타금융자산,,,30000000.0
2022,사업보고서,비유동자산,,75138180000000.0,69439450000000.0
2022,사업보고서,관계기업 및 공동기업투자,,1352845000000.0,1410428000000.0
2022,사업보고서,장기투자자산,,5733544000000.0,6665513000000.0
2022,사업보고서,기타수취채권,,354167000000.0,339517000000.0
2022,사업보고서,기타금융자산,,115712000000.0,91139000000.0
2022,사업보고서,유형자산,,60228528000000.0,53225667000000.0
2022,사업보고서,사용권자산,,1779985000000.0,1597344000000.0
2022,사업보고서,무형자산,,3512107000000.0,4797162000000.0
2022,사업보고서,투자부동산,,223000000.0,164197000000.0
2022,사업보고서,이연법인세자산,,657115000000.0,590244000000.0
2022,사업보고서,종업원급여자산,,1332253000000.0,428962000000.0
2022,사업보고서,기타비유동자산,,71701000000.0,129277000000.0
2022,사업보고서,자산총계,,103871512000000.0,96346525000000.0
2022,사업보고서,유동부채,,19843696000000.0,14735395000000.0
2022,사업보고서,매입채무,,2186230000000.0,1359247000000.0
2022,사업보고서,미지급금,,5445335000000.0,4606716000000.0
2022,사업보고서,기타지급채무,,3024648000000.0,2278316000000.0
2022,사업보고서,차입금,,7423247000000.0,2880763000000.0
2022,사업보고서,충당부채,,251889000000.0,10167000000.0
2022,사업보고서,당기법인세부채,,696553000000.0,3002734000000.0
2022,사업보고서,리스부채,,280873000000.0,302059000000.0
2022,사업보고서,기타유동부채,,534335000000.0,294780000000.0
2022,사업보고서,기타금융부채,,586000000.0,613000000.0
2022,사업보고서,비유동부채,,20737274000000.0,19420072000000.0
